hex_id;latitud;longitud
898e62c0cc3ffff;-12.050063;-77.03959
898e62c0c8bffff;-12.050598;-77.0336
898e62c0cd7ffff;-12.048629;-77.03643
898e62c0cc7ffff;-12.052032;-77.03676
898e62c0c13ffff;-12.054001;-77.03393
898e62c0ccfffff;-12.053467;-77.03992
898e62c0c1bffff;-12.055435;-77.03709
898e62c76d3ffff;-12.0504;-76.99735
898e62c2ba7ffff;-12.048431;-77.000175
898e62c76dbffff;-12.051834;-77.0005
898e62c2bafffff;-12.049866;-77.003334
898e62c2ba3ffff;-12.046463;-77.003006
898e62c2bb7ffff;-12.045029;-76.99985
898e62c294fffff;-12.041626;-76.99952
898e62c09cfffff;-12.091067;-77.02241
898e62c0953ffff;-12.092502;-77.025566
898e62c09cbffff;-12.089099;-77.02524
898e62c0827ffff;-12.090533;-77.0284
898e62c0837ffff;-12.087131;-77.02807
898e62c095bffff;-12.093936;-77.028725
898e62c0943ffff;-12.095904;-77.025894
898e62c094bffff;-12.097339;-77.02905
898e62c094fffff;-12.099307;-77.02622
898e62c0957ffff;-12.09447;-77.022736
898e62c091bffff;-12.093036;-77.01958
898e62c0947ffff;-12.097873;-77.02306
898e62c090bffff;-12.096438;-77.019905
898e62c097bffff;-12.101275;-77.02339
898e62c0973ffff;-12.099841;-77.02023
898e62c082fffff;-12.091968;-77.03155
898e62c0b97ffff;-12.09537;-77.03188
898e62c0823ffff;-12.088565;-77.03122
898e62c0833ffff;-12.085162;-77.03089
898e62c08afffff;-12.083728;-77.02773
898e62c09dbffff;-12.085696;-77.02491
898e62c09c3ffff;-12.087665;-77.02208
898e62c09c7ffff;-12.089633;-77.01925
898e62c08abffff;-12.081759;-77.03056
898e62c08bbffff;-12.078356;-77.030235
898e62c08a3ffff;-12.080325;-77.027405
898e62c2943ffff;-12.038223;-76.99919
898e62c2947ffff;-12.040192;-76.99637
898e62c2957ffff;-12.036789;-76.99604
898e62c290bffff;-12.038757;-76.99321
898e62c291bffff;-12.035354;-76.99288
898e62c2913ffff;-12.033919;-76.98972
898e62c2917ffff;-12.035888;-76.98689
898e62c2903ffff;-12.037322;-76.99005
898e62c290fffff;-12.040725;-76.99038
898e62c2907ffff;-12.03929;-76.98722
898e62c293bffff;-12.042693;-76.98755
898e62c2923ffff;-12.0446615;-76.98472
898e62c292fffff;-12.048064;-76.98505
898e62c2927ffff;-12.04663;-76.981895
898e62c2937ffff;-12.043227;-76.98157
898e62c2933ffff;-12.041259;-76.98439
898e62c74dbffff;-12.041793;-76.97841
898e62c74cbffff;-12.045196;-76.97874
898e62c7453ffff;-12.048598;-76.979065
898e62c745bffff;-12.050033;-76.98222
898e62c7457ffff;-12.050566;-76.976234
898e62c7443ffff;-12.052001;-76.97939
898e62c74cfffff;-12.047163;-76.97591
898e62c74c3ffff;-12.04376;-76.97558
898e62c74c7ffff;-12.045729;-76.97275
898e62c741bffff;-12.049131;-76.973076
898e62c7413ffff;-12.047696;-76.96992
898e62c748bffff;-12.044293;-76.96959
898e62c74d7ffff;-12.042326;-76.97242
898e62c749bffff;-12.040891;-76.96927
898e62c7483ffff;-12.042859;-76.96644
898e62c748fffff;-12.046262;-76.96677
898e62c74bbffff;-12.048229;-76.963936
898e62c7487ffff;-12.0448265;-76.96361
898e62c0c8fffff;-12.052567;-77.03077
898e62c0c87ffff;-12.051132;-77.02761
898e62c2b5bffff;-12.046295;-77.024124
898e62c2b4bffff;-12.049698;-77.02445
898e62c0c97ffff;-12.0477295;-77.02728
898e62c0c83ffff;-12.049164;-77.03044
898e62c2b43ffff;-12.048264;-77.02129
898e62c2b47ffff;-12.050233;-77.01846
898e62c2b4fffff;-12.051667;-77.02162
898e62c0cb3ffff;-12.053102;-77.02478
898e62c0cbbffff;-12.054536;-77.02794
898e62c0c17ffff;-12.05597;-77.0311
898e62c0c03ffff;-12.057404;-77.034256
898e62c0c9bffff;-12.0471945;-77.03327
898e62c0c93ffff;-12.045761;-77.03011
898e62c0d8bffff;-12.064378;-77.013794
898e62c0d13ffff;-12.067781;-77.01412
898e62c0d03ffff;-12.071184;-77.01445
898e62c0d0fffff;-12.074587;-77.01478
898e62c0d77ffff;-12.07799;-77.01511
898e62c0dc7ffff;-12.065813;-77.01695
898e62c0dd7ffff;-12.062409;-77.016624
898e62c0d9bffff;-12.060975;-77.013466
898e62c0d83ffff;-12.062943;-77.010635
898e62c0d8fffff;-12.066346;-77.01096
898e62c0d17ffff;-12.06975;-77.01129
898e62c0d1bffff;-12.069216;-77.01728
898e62c0dc3ffff;-12.063845;-77.01978
898e62c0dcfffff;-12.067247;-77.02011
898e62c0d57ffff;-12.07065;-77.02044
898e62c0d0bffff;-12.0726185;-77.01761
898e62c0dd3ffff;-12.060441;-77.019455
898e62c2b6fffff;-12.059007;-77.0163
898e62c2b67ffff;-12.057572;-77.01314
898e62c0d93ffff;-12.059541;-77.01031
898e62c0d97ffff;-12.061509;-77.00748
898e62c0d87ffff;-12.064912;-77.007805
898e62c0dbbffff;-12.068315;-77.00813
898e62c0dabffff;-12.071718;-77.00846
898e62c0d07ffff;-12.073153;-77.01162
898e62c0d3bffff;-12.076555;-77.01195
898e62c0d33ffff;-12.075121;-77.00879
898e62c0ca3ffff;-12.056504;-77.02511
898e62c0cb7ffff;-12.05507;-77.02195
898e62c2b6bffff;-12.057038;-77.01913
898e62c0ca7ffff;-12.058473;-77.02228
898e62c2b7bffff;-12.053636;-77.0188
898e62c2b63ffff;-12.055604;-77.01597
898e62c2b73ffff;-12.052201;-77.01564
898e62c2b77ffff;-12.05417;-77.01281
898e62c08b3ffff;-12.076921;-77.02708
898e62c08b7ffff;-12.07889;-77.024254
898e62c08a7ffff;-12.0822935;-77.02458
898e62c0d6bffff;-12.080858;-77.02142
898e62c0d4fffff;-12.075487;-77.023926
898e62c0d7bffff;-12.0774555;-77.021095
898e62c0d47ffff;-12.074053;-77.02077
898e62c0d73ffff;-12.076021;-77.01794
898e62c0d63ffff;-12.079424;-77.018265
898e62c0acfffff;-12.087327;-77.06432
898e62c0a03ffff;-12.091265;-77.05866
898e62c0a07ffff;-12.093234;-77.05583
898e62c0a17ffff;-12.08983;-77.055504
898e62c0a33ffff;-12.095202;-77.053
898e62c0aabffff;-12.0918;-77.05267
898e62c0aa3ffff;-12.090365;-77.049515
898e62c0a37ffff;-12.097171;-77.05017
898e62c0aafffff;-12.093768;-77.04984
898e62c0bdbffff;-12.0957365;-77.04701
898e62c0bcbffff;-12.09914;-77.04734
898e62c0bc3ffff;-12.097706;-77.04418
898e62c0bd3ffff;-12.094302;-77.04385
898e62c0aa7ffff;-12.092334;-77.046684
898e62c086bffff;-12.090899;-77.043526
898e62c0ab7ffff;-12.088931;-77.04636
898e62c087bffff;-12.087497;-77.0432
898e62c0873ffff;-12.086062;-77.04004
898e62c0863ffff;-12.089465;-77.04037
898e62c086fffff;-12.092868;-77.040695
898e62c0bd7ffff;-12.0962715;-77.04102
898e62c0bc7ffff;-12.099674;-77.04135
898e62c0867ffff;-12.091434;-77.03754
898e62c0b93ffff;-12.093402;-77.034706
898e62c082bffff;-12.089999;-77.03438
898e62c0b9bffff;-12.094836;-77.037865
898e62c0a1bffff;-12.089296;-77.06149
898e62c0a13ffff;-12.087862;-77.058334
898e62c0ac7ffff;-12.085893;-77.061165
898e62c0a8fffff;-12.086428;-77.055176
898e62c0abbffff;-12.088396;-77.052345
898e62c0ab3ffff;-12.086962;-77.04919
898e62c0877ffff;-12.088031;-77.03721
898e62c083bffff;-12.0865965;-77.03405
898e62c0223ffff;-12.0472145;-77.090645
898e62c022fffff;-12.050618;-77.09098
898e62c0227ffff;-12.049185;-77.08782
898e62c0237ffff;-12.045781;-77.08749
898e62c022bffff;-12.048649;-77.0938
898e62c035bffff;-12.0525875;-77.08815
898e62c0353ffff;-12.051154;-77.08499
898e62c03cbffff;-12.04775;-77.08466
898e62c03cfffff;-12.04972;-77.08183
898e62c03c3ffff;-12.046317;-77.0815
898e62c03dbffff;-12.044347;-77.08433
898e62c03d3ffff;-12.042913;-77.08117
898e62c03d7ffff;-12.044883;-77.07835
898e62c038fffff;-12.048821;-77.072685
898e62c03c7ffff;-12.048286;-77.078674
898e62c039bffff;-12.043449;-77.07519
898e62c038bffff;-12.046852;-77.075516
898e62c006fffff;-12.04148;-77.07801
898e62c0067ffff;-12.040046;-77.07485
898e62c002bffff;-12.038612;-77.07169
898e62c0393ffff;-12.042015;-77.07203
898e62c0383ffff;-12.045419;-77.07236
898e62c0387ffff;-12.047388;-77.06953
898e62c0397ffff;-12.043984;-77.0692
898e62c014bffff;-12.045954;-77.06637
898e62c002fffff;-12.040582;-77.06887
898e62c0023ffff;-12.037178;-77.068535
898e62c015bffff;-12.042551;-77.06604
898e62c0027ffff;-12.039147;-77.06571
898e62c0037ffff;-12.035745;-77.065384
898e62c01dbffff;-12.03431;-77.062225
898e62c01cbffff;-12.037714;-77.06255
898e62c0153ffff;-12.041117;-77.06288
898e62c0143ffff;-12.04452;-77.06321
898e62c0157ffff;-12.043086;-77.06005
898e62c056fffff;-12.031443;-77.05591
898e62c01c7ffff;-12.038249;-77.056564
898e62c018bffff;-12.036815;-77.053406
898e62c0103ffff;-12.043621;-77.05406
898e62c03b3ffff;-12.049357;-77.066696
898e62c0117ffff;-12.042188;-77.0509
898e62c018fffff;-12.038784;-77.050575
898e62c0193ffff;-12.031978;-77.04992
898e62c0567ffff;-12.030008;-77.05275
898e62c19b3ffff;-12.097002;-77.0713
898e62c0a4fffff;-12.095568;-77.06814
898e62c0a4bffff;-12.093598;-77.07097
898e62c0a43ffff;-12.092164;-77.06781
898e62c014fffff;-12.047923;-77.06354
898e62c01d3ffff;-12.032876;-77.05907
898e62c01d7ffff;-12.034845;-77.05624
898e62c011bffff;-12.041652;-77.05689
898e62c0113ffff;-12.040218;-77.053734
898e62c010bffff;-12.045055;-77.05722
898e62c03bbffff;-12.050791;-77.069855
898e62c0183ffff;-12.035381;-77.05025
898e62c0147ffff;-12.04649;-77.06038
898e62c01cfffff;-12.039682;-77.05972
898e62c01c3ffff;-12.03628;-77.059395
898e62c019bffff;-12.033412;-77.05308
898e62c0a53ffff;-12.088761;-77.06748
898e62c0a57ffff;-12.090731;-77.06465
898e62c0a0bffff;-12.092699;-77.06182
898e62c0a47ffff;-12.094133;-77.06498
898e62c0a7bffff;-12.097536;-77.06531
898e62c19b7ffff;-12.09897;-77.06847
898e62c0a6bffff;-12.10094;-77.065636
898e62c0a6fffff;-12.102908;-77.062805
898e62c0a63ffff;-12.099505;-77.06248
898e62c0a73ffff;-12.096102;-77.06215
898e62c0a0fffff;-12.094668;-77.05899
898e62c0a3bffff;-12.096637;-77.05616
898e62c0a77ffff;-12.098071;-77.05932
898e62c0a67ffff;-12.101474;-77.05965
898e62ce49bffff;-12.1048765;-77.059975
898e62ce483ffff;-12.106846;-77.057144
898e62ce487ffff;-12.108814;-77.05432
898e62ce4b3ffff;-12.110783;-77.05149
898e62ce4b7ffff;-12.112751;-77.04866
898e62c0b6bffff;-12.11472;-77.04583
898e62ce493ffff;-12.103443;-77.056816
898e62c0a2bffff;-12.1000395;-77.05649
898e62c0b53ffff;-12.102543;-77.04767
898e62c0b1bffff;-12.103077;-77.04168
898e62c0b83ffff;-12.096806;-77.035034
898e62c0b87ffff;-12.098774;-77.03221
898e62c0bb3ffff;-12.100742;-77.02938
898e62c0bb7ffff;-12.10271;-77.02655
898e62c096bffff;-12.104678;-77.02372
898e62c0a23ffff;-12.098605;-77.05333
898e62c0b8fffff;-12.100208;-77.03537
898e62c0a2fffff;-12.102009;-77.05366
898e62ce497ffff;-12.105412;-77.053986
898e62c0b4bffff;-12.10738;-77.051155
898e62c0b5bffff;-12.103977;-77.05083
898e62c0a27ffff;-12.1005745;-77.0505
898e62c0bcfffff;-12.101109;-77.04451
898e62c0b43ffff;-12.105946;-77.048
898e62c0b4fffff;-12.109348;-77.04833
898e62c0b7bffff;-12.111317;-77.0455
898e62c0b47ffff;-12.107914;-77.04517
898e62c0b57ffff;-12.104511;-77.04484
898e62c0b8bffff;-12.09824;-77.03819
898e62c0b13ffff;-12.101643;-77.03853
898e62c0b0bffff;-12.10648;-77.042015
898e62c56d3ffff;-12.108081;-77.02405
898e62c0b03ffff;-12.105045;-77.03886
898e62c0b17ffff;-12.103611;-77.0357
898e62c0bbbffff;-12.102177;-77.03254
898e62c0ba3ffff;-12.104145;-77.02971
898e62c0ba7ffff;-12.106113;-77.02688
898e62c56dbffff;-12.109516;-77.02721
898e62c0b0fffff;-12.108448;-77.039185
898e62c0bafffff;-12.107548;-77.03004
898e62c0babffff;-12.105579;-77.03287
898e62ce4a7ffff;-12.116155;-77.04899
898e62ce58bffff;-12.12206;-77.0405
898e62c0b67ffff;-12.115253;-77.03984
898e62c0b73ffff;-12.109882;-77.04234
898e62c0b07ffff;-12.107014;-77.036026
898e62c0b77ffff;-12.111851;-77.03951
898e62c0b6fffff;-12.116689;-77.043
898e62ce59bffff;-12.118657;-77.04017
898e62ce5d7ffff;-12.120091;-77.04333
898e62ce593ffff;-12.117222;-77.03701
898e62c1e03ffff;-12.073731;-77.1204
898e62c1e1bffff;-12.071762;-77.12323
898e62c1ecfffff;-12.069792;-77.12606
898e62c1ecbffff;-12.0678215;-77.12889
898e62c1337ffff;-12.065852;-77.131714
898e62c1323ffff;-12.067286;-77.13488
898e62c1327ffff;-12.069255;-77.13205
898e62c1e53ffff;-12.071225;-77.12922
898e62c1e57ffff;-12.073195;-77.12639
898e62c132bffff;-12.068719;-77.13804
898e62c1377ffff;-12.066749;-77.14087
898e62c1363ffff;-12.068182;-77.14403
898e62c137bffff;-12.066212;-77.14686
898e62cacb7ffff;-12.067645;-77.15002
898e62cacb3ffff;-12.065675;-77.15285
898e62cacbbffff;-12.067108;-77.156006
898e62cac17ffff;-12.068542;-77.159164
898e62cac0bffff;-12.071407;-77.16549
898e62cac0fffff;-12.073379;-77.16266
898e62ce5d3ffff;-12.118123;-77.04616
898e62ce583ffff;-12.1206255;-77.03734
898e62c1373ffff;-12.064778;-77.1437
898e62cac03ffff;-12.069975;-77.16233
898e62cac07ffff;-12.071945;-77.1595
898e62c134fffff;-12.064241;-77.14969
898e62c1347ffff;-12.062808;-77.14653
898e62c134bffff;-12.062271;-77.15252
898e62c1edbffff;-12.064418;-77.128555
898e62c1ec7ffff;-12.068358;-77.122894
898e62c1e13ffff;-12.070328;-77.12007
898e62c1313ffff;-12.056538;-77.13988
898e62c13c7ffff;-12.054567;-77.14271
898e62c138bffff;-12.053134;-77.13955
898e62c1393ffff;-12.048297;-77.13606
898e62c138fffff;-12.055104;-77.13672
898e62c1317ffff;-12.058508;-77.13705
898e62c13abffff;-12.060478;-77.13422
898e62c1387ffff;-12.053671;-77.13356
898e62c1063ffff;-12.044356;-77.141716
898e62c115bffff;-12.048834;-77.13007
898e62c0ecbffff;-12.061536;-77.06485
898e62c1d07ffff;-12.079451;-77.075645
898e62c0b3bffff;-12.110416;-77.036354
898e62ce597ffff;-12.11919;-77.03418
898e62c564fffff;-12.123127;-77.02852
898e62ce5b7ffff;-12.12653;-77.02885
898e62cac73ffff;-12.074812;-77.16582
898e62c1343ffff;-12.060838;-77.14936
898e62c1357ffff;-12.059404;-77.146194
898e62c130bffff;-12.061375;-77.143364
898e62c130fffff;-12.063345;-77.14054
898e62c133bffff;-12.065315;-77.13771
898e62c1333ffff;-12.063882;-77.134544
898e62c131bffff;-12.057971;-77.143036
898e62c1303ffff;-12.059941;-77.140205
898e62c1307ffff;-12.061912;-77.137375
898e62c13afffff;-12.0624485;-77.131386
898e62c139bffff;-12.04973;-77.13922
898e62c1397ffff;-12.050267;-77.13323
898e62c1067ffff;-12.046327;-77.13889
898e62c102bffff;-12.044893;-77.13573
898e62c102fffff;-12.046864;-77.1329
898e62c0e57ffff;-12.066909;-77.06235
898e62c1d63ffff;-12.085722;-77.08229
898e62c1d77ffff;-12.084288;-77.07913
898e62c0b33ffff;-12.108982;-77.033195
898e62c0b23ffff;-12.112385;-77.03352
898e62c0b2fffff;-12.1157875;-77.03385
898e62c0b27ffff;-12.114353;-77.03069
898e62ce5b3ffff;-12.124561;-77.03168
898e62ce5a7ffff;-12.129932;-77.029175
898e62c1ec3ffff;-12.066388;-77.125725
898e62c1383ffff;-12.051701;-77.13639
898e62c13bbffff;-12.057075;-77.13389
898e62c114bffff;-12.0522375;-77.1304
898e62c13a3ffff;-12.059045;-77.13106
898e62c1d73ffff;-12.082319;-77.08196
898e62c1883ffff;-12.079279;-77.09677
898e62c1c6bffff;-12.07337;-77.105255
898e62c1eb3ffff;-12.06943;-77.110916
898e62c1e87ffff;-12.067461;-77.11375
898e62c1e93ffff;-12.062088;-77.11625
898e62c036bffff;-12.0633335;-77.083145
898e62c1dc3ffff;-12.07014;-77.0838
898e62c037bffff;-12.05993;-77.08282
898e62c0377ffff;-12.060466;-77.07683
898e62c0367ffff;-12.0638685;-77.077156
898e62c1dcfffff;-12.073544;-77.08413
898e62c0b37ffff;-12.11095;-77.030365
898e62c5653ffff;-12.116322;-77.02786
898e62ce58fffff;-12.124028;-77.03767
898e62ce587ffff;-12.122593;-77.03451
898e62c564bffff;-12.121159;-77.03135
898e62c5643ffff;-12.119724;-77.02819
898e62c567bffff;-12.125095;-77.02569
898e62c566bffff;-12.128498;-77.02602
898e62c01bbffff;-12.040753;-77.047745
898e62c01b3ffff;-12.039319;-77.044586
898e62c2a4fffff;-12.037885;-77.04143
898e62c1993ffff;-12.089661;-77.07663
898e62c0a5bffff;-12.090196;-77.07064
898e62c1d2fffff;-12.088226;-77.07347
898e62c1d27ffff;-12.086792;-77.07031
898e62c0acbffff;-12.085359;-77.067154
898e62c0ac3ffff;-12.083924;-77.063995
898e62c0ad7ffff;-12.08249;-77.06084
898e62c0a8bffff;-12.084458;-77.05801
898e62c0a9bffff;-12.081056;-77.05768
898e62c0a83ffff;-12.083025;-77.05485
898e62c0a87ffff;-12.084993;-77.05202
898e62c084bffff;-12.083559;-77.04886
898e62c56cbffff;-12.112919;-77.027534
898e62c565bffff;-12.117756;-77.03102
898e62c5647ffff;-12.121693;-77.02536
898e62c13b3ffff;-12.055641;-77.13073
898e62c13a7ffff;-12.061015;-77.12823
898e62c117bffff;-12.056178;-77.12474
898e62c1ed3ffff;-12.062984;-77.1254
898e62c18b7ffff;-12.085187;-77.08828
898e62c1d23ffff;-12.084824;-77.07314
898e62c1d0fffff;-12.080885;-77.078804
898e62c1d7bffff;-12.083753;-77.08512
898e62c1d4fffff;-12.081783;-77.08795
898e62c1d4bffff;-12.079814;-77.09078
898e62c1897ffff;-12.077845;-77.09361
898e62c1eb7ffff;-12.071401;-77.108086
898e62c112bffff;-12.058684;-77.11592
898e62c1cb7ffff;-12.061364;-77.085976
898e62c0373ffff;-12.058496;-77.07966
898e62c0363ffff;-12.061899;-77.07999
898e62c032bffff;-12.062435;-77.074
898e62c1d93ffff;-12.065838;-77.074326
898e62c1d5bffff;-12.076411;-77.090454
898e62c1c27ffff;-12.073008;-77.09012
898e62ce5bbffff;-12.125996;-77.034836
898e62ce5abffff;-12.129399;-77.035164
898e62ce5a3ffff;-12.127964;-77.032005
898e62ce5afffff;-12.131367;-77.03233
898e62c114fffff;-12.054208;-77.12757
898e62c13b7ffff;-12.057611;-77.1279
898e62c1d6bffff;-12.087156;-77.08545
898e62c0adbffff;-12.081955;-77.066826
898e62c189bffff;-12.07731;-77.0996
898e62c113bffff;-12.055281;-77.11559
898e62c1ccbffff;-12.057787;-77.10677
898e62c1d0bffff;-12.078916;-77.081635
898e62c1d53ffff;-12.074977;-77.08729
898e62c1c37ffff;-12.069604;-77.08979
898e62c1c23ffff;-12.071038;-77.09295
898e62c1c4fffff;-12.067997;-77.10776
898e62c1c47ffff;-12.066564;-77.1046
898e62c1c87ffff;-12.057425;-77.09164
898e62c1c83ffff;-12.055455;-77.09447
898e62c1cc7ffff;-12.058323;-77.100784
898e62c1c53ffff;-12.061191;-77.1071
898e62c1c43ffff;-12.064593;-77.10743
898e62c0277ffff;-12.046679;-77.096634
898e62c0187ffff;-12.03735;-77.04742
898e62c01b7ffff;-12.041288;-77.041756
898e62c2a73ffff;-12.03842;-77.035446
898e62c116bffff;-12.059581;-77.12507
898e62c1ed7ffff;-12.064955;-77.12257
898e62c1e8bffff;-12.066925;-77.119736
898e62c1e8fffff;-12.068894;-77.116905
898e62c1ebbffff;-12.070865;-77.114075
898e62c1ea3ffff;-12.072834;-77.11125
898e62c1ea7ffff;-12.074803;-77.10842
898e62c18d3ffff;-12.076774;-77.10559
898e62c18d7ffff;-12.078743;-77.10276
898e62c188bffff;-12.080712;-77.09993
898e62c1887ffff;-12.081248;-77.09394
898e62c18b3ffff;-12.083218;-77.09111
898e62c1d37ffff;-12.083389;-77.069984
898e62c1e83ffff;-12.065491;-77.11658
898e62c1e9bffff;-12.063521;-77.11941
898e62c116fffff;-12.061551;-77.12224
898e62c1177ffff;-12.056714;-77.11875
898e62c1163ffff;-12.058147;-77.12191
898e62c1167ffff;-12.060118;-77.11908
898e62c1123ffff;-12.057251;-77.11276
898e62c01a3ffff;-12.042723;-77.044914
898e62c2a7bffff;-12.039854;-77.038605
898e62c1d67ffff;-12.087691;-77.07946
898e62c0ad3ffff;-12.080521;-77.06367
898e62c0e6fffff;-12.079087;-77.06051
898e62c1133ffff;-12.053847;-77.112434
898e62c11afffff;-12.052413;-77.109276
898e62c1d47ffff;-12.08035;-77.08479
898e62c1c73ffff;-12.068533;-77.10177
898e62c1c0fffff;-12.0671;-77.09861
898e62c1c0bffff;-12.065129;-77.10144
898e62c1c03ffff;-12.063696;-77.09828
898e62c1cabffff;-12.064232;-77.09229
898e62c1c17ffff;-12.062262;-77.09512
898e62c1cbbffff;-12.060828;-77.091965
898e62c1cb3ffff;-12.059395;-77.088806
898e62c1ccfffff;-12.059756;-77.10394
898e62c023bffff;-12.045245;-77.093475
898e62c0233ffff;-12.043812;-77.09032
898e62c02afffff;-12.042377;-77.08716
898e62c0063ffff;-12.038076;-77.07768
898e62c00afffff;-12.032341;-77.06505
898e62c00a7ffff;-12.030907;-77.06189
898e62c01a7ffff;-12.044691;-77.04208
898e62c2a6bffff;-12.043257;-77.03893
898e62c2a63ffff;-12.041823;-77.035774
898e62c1d2bffff;-12.086257;-77.0763
898e62c1137ffff;-12.055817;-77.109604
898e62c1cdbffff;-12.054383;-77.106445
898e62c11a7ffff;-12.05098;-77.10612
898e62c1cd3ffff;-12.05295;-77.10329
898e62c026fffff;-12.051516;-77.10013
898e62c026bffff;-12.049546;-77.10295
898e62c1cafffff;-12.066201;-77.08946
898e62c1ddbffff;-12.068171;-77.08663
898e62c036fffff;-12.065303;-77.080315
898e62c1dd7ffff;-12.068706;-77.08064
898e62c1d9bffff;-12.067272;-77.077484
898e62c1d83ffff;-12.069242;-77.07465
898e62c1d8fffff;-12.072644;-77.07498
898e62c1d17ffff;-12.076048;-77.07532
898e62c1d03ffff;-12.077481;-77.078476
898e62c1d8bffff;-12.070675;-77.07781
898e62c1d13ffff;-12.074079;-77.07814
898e62c1dc7ffff;-12.072109;-77.08097
898e62c1d1bffff;-12.075513;-77.0813
898e62c0cd3ffff;-12.04666;-77.03926
898e62c2a6fffff;-12.045226;-77.0361
898e62c2a67ffff;-12.043792;-77.03294
898e62c2a2fffff;-12.044327;-77.026955
898e62c2a2bffff;-12.042357;-77.029785
898e62c2a77ffff;-12.040389;-77.032616
898e62c0197ffff;-12.033947;-77.04709
898e62c1997ffff;-12.091629;-77.0738
898e62c084fffff;-12.085528;-77.04603
898e62c080bffff;-12.08266;-77.03971
898e62c0887ffff;-12.074953;-77.02991
898e62c0d53ffff;-12.068682;-77.02326
898e62c0dcbffff;-12.065279;-77.022934
898e62c0ddbffff;-12.061875;-77.022606
898e62c0cafffff;-12.059907;-77.02544
898e62c0cabffff;-12.057939;-77.02827
898e62c0893ffff;-12.069582;-77.03241
898e62c088fffff;-12.076387;-77.033066
898e62c0e67ffff;-12.077653;-77.05735
898e62c0e2bffff;-12.076219;-77.05419
898e62c0163ffff;-12.051862;-77.05788
898e62c0343ffff;-12.054557;-77.08532
898e62c0347ffff;-12.056527;-77.08249
898e62c2a4bffff;-12.035916;-77.04426
898e62c1987ffff;-12.095033;-77.07413
898e62c1983ffff;-12.093063;-77.07696
898e62c199bffff;-12.091094;-77.07979
898e62c0847ffff;-12.084094;-77.04287
898e62c0d43ffff;-12.072084;-77.02359
898e62c0c07ffff;-12.059373;-77.031425
898e62c0e3bffff;-12.072815;-77.05386
898e62c017bffff;-12.049892;-77.06071
898e62c034bffff;-12.055991;-77.08848
898e62c1c97ffff;-12.054022;-77.09131
898e62c1c93ffff;-12.052052;-77.09414
898e62c0267ffff;-12.050082;-77.09696
898e62c0e63ffff;-12.075684;-77.06018
898e62c0e73ffff;-12.072281;-77.05985
898e62c0e0bffff;-12.068877;-77.059525
898e62c0e1bffff;-12.0654745;-77.05919
898e62c0ec7ffff;-12.062071;-77.05886
898e62c0ed7ffff;-12.058668;-77.05853
898e62c0e5bffff;-12.066373;-77.06834
898e62c0263ffff;-12.048113;-77.09979
898e62c1ca7ffff;-12.064767;-77.0863
898e62c1d43ffff;-12.078381;-77.08762
898e62c080fffff;-12.084628;-77.03688
898e62c0807ffff;-12.083194;-77.03372
